City,State,METAREA,Longitude,Latitude
Asheville,NC,480,-82.5540161,35.6009498
Burlington,NC,1300,-73.212906,44.4761601
Fayetteville,NC,2560,-94.1574328,36.0625843
Goldsboro,NC,2980,-77.9927651,35.3848841
Greensboro-Winston Salem,NC,3120,-80.1645931,36.1111022
Winston-Salem,NC,3121,-80.2440518,36.0998131
Greensboro-High Point,NC,3122,-79.8758083,36.0252559
Greenville,NC,3150,-82.3984882,34.851354
Hickory-Morganton,NC,3290,-81.7714588,35.7153611
Jacksonville,NC,3600,-81.655651,30.3321838
Raleigh-Durham,NC,6640,-81.2812858,37.6892095
Durham,NC,6641,-78.90918652627246,35.9825698
Wilmington,NC,9200,-75.546589,39.7459468
